Work no.,Title,Author,Genre,PDF,Unicode
646,ஸ்ரீ மீனாட்சிசுந்தரம் பிள்ளை சரித்திரம் -பாகம் 2,உ.வே. சாமிநாத அய்யர்,வரலாறு / சரித்திரம்,pm0646_01.pdf pm0646_02.pdf,pmuni0646_01.html pmuni0646_02.html
647,தமிழர் வளர்த்த அழகுக் கலைகள்,மயிலை சீனி. வேங்கடசாமி,ஆராய்ச்சிக் கட்டுரைகள்,pm0647.pdf,pmuni0647.html
648,பௌத்தமும் தமிழும்,மயிலை சீனி. வேங்கடசாமி,ஆராய்ச்சிக் கட்டுரைகள்,pm0648.pdf,pmuni0648.html
649,நீதிதேவன் மயக்கம் (நாடகம்),அறிஞர் அண்ணா (கா. ந. அண்ணாதுரை),நாடகம்,pm0649.pdf,pmuni0649.html
650,திருக்குறள் மூலமும் மணக்குடவர் உரையும்,திருவள்ளுவர் / மணக்குடவர் உரை,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,pm0650.pdf,pmuni0650.html
651,வெற்றிவேற்கை (உரையும் கதைக்குறிப்பும்),அதிவீரராம பாண்டியன்,நீதிநெறி நூல்கள்,pm0651.pdf,pmuni0651.html
652,இலக்கியக் காட்சிகள்,சி. பாலசுப்பிரமணியன் (சிற்பி),ஆராய்ச்சிக் கட்டுரைகள்,pm0652.pdf,pmuni0652.html
653,தமிழ் வளர்த்த நகரங்கள்,அ. க. நவநீத கிருட்டிணன்,ஆராய்ச்சிக் கட்டுரைகள்,pm0653.pdf,pmuni0653.html
654,சுகுணசுந்தரி சரித்திரம்,மாயூரம் வேதநாயகம் பிள்ளை,நாவல் - புதிய பதிப்பு,pm0654.pdf,pmuni0654.html
655,பாசவதைப் பரணி (குறிப்புரையுடன்),உ.வே. சாமிநாத அய்யர் (தொகுப்பு),பிரபந்தம் - பரணி,pm0655.pdf,pmuni0655.html
656,"மணிபல்லவம் (சரித்திர நாவல்) - பாகம் 1, 2, 3",தீபம் நா. பார்த்தசாரதி,சரித்திர நாவல்,pm0656_01.pdf pm0656_02.pdf pm0656_03.pdf,pmuni0656_01.html pmuni0656_02.html pmuni0656_03.html
657,"சிதம்பரநாதர் திருவருட்பா, சிதம்பர வெண்பா, பரமராசியமாலை  தில்லைச் சிவகாமியம்மை பிள்ளைத் தமிழ்)",,"பிரபந்தம் - வெண்பா, மாலை பிள்ளைத் தமிழ்",pm0657.pdf,pmuni0657.html
658,"மணிபல்லவம் (சரித்திர நாவல்) - பாகம் 4, 5",தீபம் நா. பார்த்தசாரதி,சரித்திர நாவல்,pm0658_01.pdf pm0658_02.pdf,pmuni0658_01.html pmuni0658_02.html
659,திருவாசகம் - ஆங்கில மொழிபெயர்ப்பு,மாணிக்க வாசகர் /கௌசல்யா ஹார்ட்,ஆங்கில மொழிபெயர்ப்பு,pm0659.pdf,pmuni0659.html
660,கூளப்ப நாயக்கன் விறலி விடு தூது,சுப்ர தீபக் கவி,பிரபந்தம் - தூது,pm0660.pdf,pmuni0660.html
661,தமிழ்ச் செல்வம்,ஔவை துரைசாமி பிள்ளை,இலக்கியக் கட்டுரைகள்,pm0661.pdf,pmuni0661.html
662,தண்ணீரைப் போற்றுவோம்,க. செயபாலன்,கவிதைகள்,pm0662.pdf,pmuni0662.html
663,வைராக்கிய சதகம்,சாந்தலிங்க சுவாமிகள் சிதம்பர சுவாமிகள் உரையுடன்,பிரபந்தம் - சதகம்,pm0663.pdf,pmuni0663.html
664,சீவகசிந்தாமணி பாகம் 1 &2 - மூலமும்,திருத்தக்க தேவர் சோமசுந்தரனார் உரையுடன்,காப்பியம்,pm0664_01.pdf pm0658_02.pdf,pmuni0664_01.html pmuni0664_02.html
665,திருக்குறள் - ஆங்கில மொழிபெயர்ப்பு,இராமசந்திர தீக்‌ஷிதர்,ஆங்கில மொழிபெயர்ப்பு,pm0665.pdf,pmuni0665.html
666,முதலொலியலந்தாதி,தண்டபாணி சுவாமிகள்,பிரபந்தம் - அந்தாதி,pm0666.pdf,pmuni0666.html
667,"கலம்பகக் கொத்து (பேரைக் கலம்பகம்,திருமயிலாசலக் கலம்பகம் ஞான விநோதன் கலம்பகம்",த. சந்திரசேகரன் (தொகுப்பு),பிரபந்தம் - கலம்பகம்,pm0667.pdf,pmuni0667.html
668,தமிழ் நாடக வரலாறும் சங்கரதாச சுவாமிகளும்,அ. ச. ஞானசம்பந்தன்,நாடக வரலாறு,pm0668.pdf,pmuni0668.html
669,பாரதியும் பாரதிதாசனும்,அ. ச. ஞானசம்பந்தன்,ஆராய்ச்சிக் கட்டுரைகள்,pm0669.pdf,pmuni0669.html
670,"சீவகசிந்தாமணி, பாகம் 3 & 4 - மூலமும்",திருத்தக்க தேவர் சோமசுந்தரனார் உரையுடன்,காப்பியம்,pm0670_01.pdf pm0670_02.pdf,pmuni0670_01.html pmuni0670_02.html
671,மங்களசாமி மாலை,சா.மாணிக்கவாசகம் & சா. சம்பந்தம்,செய்யுள் தொகுப்பு,pm0671.pdf,pmuni0671.html
672,"சீவகசிந்தாமணி, பாகம் 5 - மூலமும்",திருத்தக்க தேவர் சோமசுந்தரனார் உரையுடன்,காப்பியம்,pm0672_01.pdf pm0672_02.pdf,pmuni0672_01.html pmuni0672_02.html
673,தமிழ் பழமொழிகள் தொகுப்பு ஆங்கில மொழியர்ப்புடன்,பெர்சிவால்,பழமொழிகள்,pm0673_01.pdf pm0673_02.pdf,pmuni0673_01.html pmuni0673_02.html
674,மாந்தருக்குள் ஒரு தெய்வம் முதற் பாகம்,கல்கி (ரா. கிருஷ்ணமூர்த்தி),மகாத்மா காந்தி வரலாறு,pm0674_01.pdf pm0674_02.pdf,pmuni0674_01.html pmuni0674_02.html
675,"பித்தளை அல்ல, பொன்னே தான்!",அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),சிறுகதைகள்,pm0675.pdf,pmuni0675.html
676,ஓர் இரவு,அறிஞர் அண்ணா (க. நா. அண்ணாதுரை),நாடகம்,pm0676.pdf,pmuni0676.html
677,தூரன் கவிதைகள்,ம. ப. பெரியசாமித்தூரன்,கவிதை தொகுப்பு,pm0677.pdf,pmuni0677.html
678,கானகத்தின் குரல் (நாவல்),ஜாக் லண்டன் ம. ப. பெரியசாமித்தூரன்,தமிழில் மொழிபெயர்ப்பு,pm0678.pdf,pmuni0678.html
679,அடிமனம்,ம. ப. பெரியசாமித்தூரன்,கட்டுரைகள்,pm0679.pdf,pmuni0679.html
680,மூன்று தமிழ் நாடகங்கள் : 1. மதன சுந்தரப் பிரசாத சந்தான விலாசம் 2. பாண்டிய கேளீ விலாஸ நாடகம் & 3. புரூரவ நாடகம்,தொகுப்பு: கி.வா. ஜகன்னாதன்,நாடகங்கள்,pm0680.pdf,pmuni0680.html
681,தமிழ் இலக்கியக் கதைகள்,தீபம் நா. பார்த்தசாரதி,இலக்கியக் கதைகள்,pm0681.pdf,pmuni0681.html
682,எனது நாடக வாழ்க்கை - முதல் பாகம் (3 பாகங்களாக),அவ்வை தி.க. சண்முகம்,வரலாறு,pm0682_01.pdf pm0682_02.pdf pm0682_03.pdf,pmuni0682_01.html pmuni0682_02.html pmuni0682_03.html
683,1. அசோகர் கதைகள் (683_01) 2. ஒரு ஈயின் ஆசை (683_02),பாவலர் நாரா. நாச்சியப்பன்,சிறுவர்களுக்கான கதைகள்,pm0683_01.pdf pm0683_02.pdf,pmuni0683_01.html pmuni0683_02.html
684,1. அப்பம் தின்ற முயல் (684_01) 2. பள்ளிக்குச் சென்ற சிட்டுக்குருவிகள் (684_02),பாவலர் நாரா. நாச்சியப்பன்,சிறுவர்களுக்கான கதைகள்,pm0684_01.pdf pm0684_02.pdf,pmuni0684_01.html pmuni0684_02.html
685,1. ஈரோட்டுத் தாத்தா (685_01) 2. தந்தை‌ ‌‌பெரியார்‌ ‌‌வரலாறு‌ ‌ (685_02),பாவலர் நாரா. நாச்சியப்பன்,கட்டுரைகள்,pm0685_01.pdf pm0685_02.pdf,pmuni0685_01.html pmuni0685_02.html
